Year,MasterGameID,GameName,EligiblePercentStandardGame,EligiblePercentCounterPick,DateAdjustedHypeFactor,AverageDraftPosition,TotalBidAmount,BidPercentile,CriticScore
2019,e29b4b72-83bb-4761-b5d6-4e352c668259,Eliza,0.0016,0,0.16160000000000002,,23,82.5,82.7500
2019,e2c27329-41ed-4014-b28e-de197a2c9839,Blazing Chrome,0.0065,0,0.4095,38,53,87.1,79.7442
2019,e3353c8a-cdcb-4b59-a63a-73217176a897,Psychonauts 2,0.3642,0.0878,28.36112808,23.1276,311,95,70
2019,e41a8ecc-d6b3-46c3-abe4-08f25c7aa7f1,Need for Speed Heat,0.0553,0.0081,4.986,11,536,97.3,71.7857
2019,e4358684-6ee4-4869-8f66-0e94811ba5a0,Showdown Bandit,0.0016,0,0.16160000000000002,,5,74.3,70
2019,e4460995-6101-4da3-bee3-b3514b47b8a3,CrossCode (Switch),0.0081,0,0.5589,32,35,84.9,70
2019,e4593e8b-1b2b-446a-b949-db0e25d96b23,Dead or Alive 6,0.2087,0.0512,15.822381799999999,25.186,227,94.1,74.4675
2019,e45aa4c4-af69-4be4-8171-5a3df9dd9587,Baba Is You,0.0288,0.0019,2.0376,30.25,58,88,83.9286
2019,e52d32cf-9246-4db4-82da-24cc75448639,The Blackout Club,0.0016,0,1.7068999999999999,,30,83.7,69.8182
2019,e5628436-a63c-4d42-af73-6181958c85c9,My Friend Pedro,0.2016,0.0423,14.541173429999999,29.3333,324,95.2,80.1333
2019,e5b576c3-c82b-4497-bc5c-9faa228970ef,The Last Night,0.0309,0.0049,2.0703,34,28,83.4,70
2019,e5bd3fd7-2b1d-454b-8ba3-abafc816a59c,Judgment,0.3528,0.0179,28.01732352,22.1224,813,98.6,81.7432
2019,e6067bfd-606f-40b0-a9dd-b78145e4ee9d,Observation,0.0298,0,1.7284,43,42,86,75.9333
2019,e6ea6a94-92a9-48b1-8646-333f52131911,Anodyne 2: Return to Dust,0.0033,0,0.3333,,11,77.9,75.0000
2019,e6f796a7-ea74-43cf-8fa9-3a6ec85d285e,GTFO,0.0163,0.0016,1.2225,26,36,85.1,70
2019,e7bbcd4d-7bb6-4dd6-9598-44316e9ce4b8,Crackdown 3,0.2526,0.1355,20.208,21,224,93.9,62.6000
2019,e89e99e8-e8e9-42a5-a39a-2c2ee780e884,Warsaw,0.0081,0,0.8282,,26,83.2,67.9048
2019,e9610429-0b91-41b3-b63f-495560c96d58,LUNA The Shadow Dust,0.0016,0,0.16160000000000002,,5,74.3,70
2019,ea54d525-40ff-4ed7-9eac-2c8aa0ea66c3,Boyfriend Dungeon,0.013,0.0033,0.8623329000000001,34.6667,131,92.1,70
2019,eb78703e-5ab1-466b-bb0e-385e61bf4f52,The Stanley Parable: Ultra Deluxe,0.0423,0.0049,3.2013401399999997,25.3182,55,87.5,70
2019,ec3daf81-35bc-4a07-aadf-a6c8b5fe1a1c,Stranger Things 3,0.0244,0.0033,1.1964158500000002,52.1667,48,86.7,61.3636
